permno,date,year,exchcd,siccd,retadj,eretadj,altprc_lag1,ME_lag1,ME_Jun,BM
82546,20121231,2012,3,7280,-0.03953284,-0.03963284,22.260000229,1117.3407115,1373.2570809,0.2302133173
82547,20121231,2012,3,3670,0.0796637908,0.0795637908,12.789999962,484.42124856,505.65218287,0.9192029285
82552,20121231,2012,3,6140,0.0378788374,0.0377788374,9.2399997711,119.64875704,137.35482832,1.4805440371
82567,20121231,2012,1,2834,0.0981734768,0.0980734768,4.3800001144,1306.0459541,1357.5841719,0.114864817
82571,20121231,2012,3,6162,0.2084366381,0.2083366381,8.0600004196,85.081364429,91.309395973,1.2490916791
82573,20121231,2012,3,6030,0.0340909176,0.0339909176,14.960000038,462.20416118,421.83487354,1.0681329299
82575,20121231,2012,3,6036,0.022628963,0.022528963,30.049999237,584.62273516,411.25069714,1.3677793125
82581,20121231,2012,3,5047,-0.004333274,-0.004433274,80.769996643,7107.2750846,6978.1532601,0.4523530162
82587,20121231,2012,3,3550,-0.033826604,-0.033926604,4.7300000191,110.98945045,176.43423955,1.1216064116
82598,20121231,2012,3,3572,0.0580258667,0.0579258667,31.709999084,11361.185312,11854.604526,0.2877293555
82599,20121231,2012,3,3310,0.1582524329,0.1581524329,20.600000381,193.28980358,227.55880215,1.220034168
82607,20121231,2012,3,8730,-0.08361724,-0.08371724,32.290000916,1899.4270139,1697.9497825,0.4845716134
82618,20121231,2012,3,3570,0.1125320122,0.1124320122,39.099998474,9453.9495311,8811.5614894,0.5955621405
82634,20121231,2012,1,2082,0.190138936,0.190038936,112.97000122,994.13601074,1062.985,0.2157362503
82635,20121231,2012,1,2611,0.0357142799,0.0356142799,27.719999313,1072.2927334,1122.705421,0.4463528559
82638,20121231,2012,1,8361,0.0928381234,0.0927381234,22.620000839,1021.0442179,758.14100656,0.3848974109
82639,20121231,2012,2,6798,-0.04406777,-0.04416777,14.75,116.89375,15.776294357,1.90448908
82642,20121231,2012,1,2844,0.0276394952,0.0275394952,58.25,13829.5985,12823.950227,0.2007761808
82643,20121231,2012,1,3577,-0.04685571,-0.04695571,24.329999924,1571.2313951,1890.7682946,0.5683463241
82644,20121231,2012,1,6331,0.0395683944,0.0394683944,5.5599999428,276.75455715,444.00926807,1.1092891648
82649,20121231,2012,1,2621,0.0416332409,0.0415332409,37.470001221,1162.8814879,1063.3928305,0.4612914732
82651,20121231,2012,1,3826,0.03039621,0.03029621,84.550003052,7351.9609654,7062.6579485,0.184853702
82664,20121231,2012,3,3559,0.0236220248,0.0235220248,2.5399999619,27.28213959,45.801148996,0.8681702105
82678,20121231,2012,3,2810,-0.072649509,-0.072749509,2.3399999142,16.920539379,14.383720069,1.0295252783
82694,20121231,2012,1,1731,0.0630137697,0.0629137697,32.849998474,2185.8388985,1856.7067796,0.7342566053
82699,20121231,2012,3,5122,-0.030165946,-0.030265946,46.409999847,1376.8454655,1142.4112004,0.3940624202
82702,20121231,2012,3,2834,0.0073746126,0.0072746126,20.340000153,1389.4050704,1362.5697008,0.4554617066
82720,20121231,2012,3,8290,-0.04694397,-0.04704397,5.5300002098,72.857752764,57.443001759,0.4110951556
82747,20121231,2012,3,3761,0.05882347,0.05872347,0.8500000238,16.563950465,20.328840808,3.3966455651
82759,20121231,2012,3,7372,0.0035971189,0.0034971189,22.239999771,6948.3096885,7318.5281662,0.3347507367
82762,20121231,2012,3,3660,-0.051282063,-0.051382063,1.9500000477,89.444552187,115.07776553,1.3668480697
82763,20121231,2012,3,3571,-0.159275353,-0.159375353,0.6899999976,7.4575199742,10.792,0.2309642516
82768,20121231,2012,2,3663,0,-0.0001,1.1499999762,7.1483998518,7.4592002964,2.8034764136
82775,20121231,2012,1,6331,0.0594900958,0.0593900958,21.180000305,9241.0035732,7772.44958,3.0835499135
82777,20121231,2012,1,5084,0.0415633544,0.0414633544,72.660003662,3432.603893,3098.0242442,0.3174891815
82779,20121231,2012,3,2836,0.0216215998,0.0215215998,1.8500000238,273.69085353,206.15711244,0.3651980509
82800,20121231,2012,1,1021,0.0429752469,0.0428752469,36.299999237,30693.500655,26774.047194,0.1631350788
82812,20121231,2012,3,6030,-0.185285747,-0.185385747,0.810100019,1.5067860353,2.399399929,0.2483285669
82824,20121231,2012,3,2836,0.2027026713,0.2026026713,0.7400000095,20.454340264,29.297338418,0.3031133349
82825,20121231,2012,3,8010,-0.112149574,-0.112249574,3.2100000381,61.067040726,81.773103627,0.4802681225
82839,20121231,2012,3,3674,-0.041406892,-0.041506892,0.8500999808,9.4497113869,24.788680212,1.5852774792
82855,20121231,2012,1,4911,0.0097331069,0.0096331069,31.850000381,1277.7264653,1327.7595539,0.7635857148
82924,20121231,2012,1,2731,-0.082669802,-0.082769802,42.700000763,2560.70676,2917.6601441,0.4368747563
83011,20121231,2012,1,5719,-0.032920856,-0.033020856,45.259998322,4454.7605948,3470.5977711,0.3178549651
83111,20121231,2012,3,2830,-0.023745041,-0.023845041,96.019996643,18655.341068,19151.594389,0.085527741
83112,20121231,2012,3,5150,0.0208629966,0.0207629966,42.180000305,784.54800568,795.22505716,0.7287308386
83113,20121231,2012,3,3845,0.0328455791,0.0327455791,33.490001678,933.7347368,811.64161903,0.3399715778
83120,20121231,2012,3,3530,0.1042781025,0.1041781025,14.960000038,291.66016074,293.22888297,0.6779411663
83123,20121231,2012,3,3840,0.0091302516,0.0090302516,20.809999466,658.99025309,625.22189037,0.3917670037
83124,20121231,2012,3,8721,-0.021523166,-0.021623166,18.579999924,626.42469743,583.8912232,0.6088217819
83131,20121231,2012,3,7319,0.0292452313,0.0291452313,10.600000381,292.92041054,341.12748684,1.5887412843
83143,20121231,2012,1,8742,-0.008860795,-0.008960795,31.600000381,5451.4740658,5642.7518433,0.3066355598
83145,20121231,2012,3,3840,-0.023779674,-0.023879674,-3.994999886,35.847133973,37.450770685,0.5224667276
83148,20121231,2012,3,2821,-0.054671984,-0.054771984,10.06000042,259.38705082,219.52121076,1.045974245
83149,20121231,2012,3,3225,-0.086712137,-0.086812137,0.9963999987,11.759512784,12.064531059,0.3864319672
83152,20121231,2012,3,5812,0.0124921799,0.0123921799,16.010000229,271.60965388,296.71131098,0.330540025
83155,20121231,2012,3,6020,0.0236941054,0.0235941054,18.569999695,74.81852877,77.598540922,0.9643420426
83186,20121231,2012,1,7374,0.0513532124,0.0512532124,57.63999939,2610.9190524,2441.4518017,0.5715035024
83233,20121231,2012,1,2655,0.0948087052,0.0947087052,41.029998779,2047.465906,2026.747427,0.6702736174
83244,20121231,2012,3,3350,0.1276189983,0.1275189983,7.7699999809,687.53621831,648.46310325,1.493572369
83272,20121231,2012,3,4730,0.0379981324,0.0378981324,32.369998932,1201.0888104,1340.8204696,0.4439036313
83283,20121231,2012,3,7370,0.0076130801,0.0075130801,44.659999847,1924.2654134,1271.0586129,0.4997210093
83291,20121231,2012,3,7372,-0.021212101,-0.021312101,6.5999999046,687.63419006,785.18009186,1.1012762145
83303,20121231,2012,3,7380,-0.129999995,-0.130099995,2,39.926,22.957449524,0.4680158293
83304,20121231,2012,3,8721,0.0093896622,0.0092896622,6.3899998665,162.36989661,201.07139518,0.3955192463
83307,20121231,2012,1,7389,0.1519434601,0.1518434601,8.4899997711,409.80379895,419.94468718,0.5782483607
83317,20121231,2012,3,2830,0.0467626303,0.0466626303,2.7799999714,259.91609733,194.808892,1.3052435354
83366,20121231,2012,1,2869,0.0231160596,0.0230160596,76.569999695,1768.307573,1771.3121275,0.2322275842
83382,20121231,2012,2,7374,-0.033557016,-0.033657016,1.4900000095,65.929520422,50.033501084,0.8901859868
83390,20121231,2012,3,3810,0.1042653769,0.1041653769,12.659999847,188.19089773,185.275,0.8540825177
83391,20121231,2012,3,7373,0.0756143853,0.0755143853,5.2899999619,66.56406952,39.105300504,0.3816430161
83399,20121231,2012,3,3357,-0.098533638,-0.098633638,4.1599998474,26.673919022,30.123,1.4063210162
83405,20121231,2012,3,3660,0,-0.0001,10.460000038,1835.0291867,1860.0728409,0.4775246259
83411,20121231,2012,2,1311,0.029113926,0.029013926,7.9000000954,221.61080268,231.99378424,0.164518135
