PERMNO,date,TICKER,COMNAM,RET,RETX
10107,2021-05-28,MSFT,MICROSOFT CORP,-0.007693,-0.009914
10107,2021-06-30,MSFT,MICROSOFT CORP,0.084989,0.084989
10107,2021-07-30,MSFT,MICROSOFT CORP,0.051717,0.051717
10107,2021-08-31,MSFT,MICROSOFT CORP,0.061528,0.059563
10107,2021-09-30,MSFT,MICROSOFT CORP,-0.066119,-0.066119
10107,2021-10-29,MSFT,MICROSOFT CORP,0.176291,0.176291
10107,2021-11-30,MSFT,MICROSOFT CORP,-0.001236,-0.003106
10107,2021-12-31,MSFT,MICROSOFT CORP,0.017333,0.017333
10107,2022-01-31,MSFT,MICROSOFT CORP,-0.075345,-0.075345
10107,2022-02-28,MSFT,MICROSOFT CORP,-0.037205,-0.039199
10107,2022-03-31,MSFT,MICROSOFT CORP,0.031862,0.031862
10107,2022-04-29,MSFT,MICROSOFT CORP,-0.099867,-0.099867
10107,2022-05-31,MSFT,MICROSOFT CORP,-0.018125,-0.020359
10107,2022-06-30,MSFT,MICROSOFT CORP,-0.055321,-0.055321
10107,2022-07-29,MSFT,MICROSOFT CORP,0.093097,0.093097
10107,2022-08-31,MSFT,MICROSOFT CORP,-0.066432,-0.068640
10107,2022-09-30,MSFT,MICROSOFT CORP,-0.109267,-0.109267
10107,2022-10-31,MSFT,MICROSOFT CORP,-0.003306,-0.003306
10107,2022-11-30,MSFT,MICROSOFT CORP,0.102055,0.099125
10107,2022-12-30,MSFT,MICROSOFT CORP,-0.060045,-0.060045
10107,2023-01-31,MSFT,MICROSOFT CORP,0.033317,0.033317
10107,2023-02-28,MSFT,MICROSOFT CORP,0.009241,0.006497
10107,2023-03-31,MSFT,MICROSOFT CORP,0.155882,0.155882
10107,2023-04-28,MSFT,MICROSOFT CORP,0.065765,0.065765
10107,2023-05-31,MSFT,MICROSOFT CORP,0.070982,0.068769
10107,2023-06-30,MSFT,MICROSOFT CORP,0.036999,0.036999
10107,2023-07-31,MSFT,MICROSOFT CORP,-0.013567,-0.013567
10107,2023-08-31,MSFT,MICROSOFT CORP,-0.022267,-0.024292
10107,2023-09-29,MSFT,MICROSOFT CORP,-0.036643,-0.036643
10107,2023-10-31,MSFT,MICROSOFT CORP,0.070815,0.070815
10107,2023-11-30,MSFT,MICROSOFT CORP,0.122889,0.120671
10107,2023-12-29,MSFT,MICROSOFT CORP,-0.007574,-0.007574
